epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6764.16,1.9549,2.14085,1.23695,0.6457,0.49971,0.52018,0.27719,1.50361,1.64707,1.01951,2.278e-05,2.278e-05,2.278e-05
41,6930.72,2.01566,2.57895,1.27019,0.61905,0.47926,0.48485,0.25779,1.54683,1.65686,1.02707,2.08e-05,2.08e-05,2.08e-05
42,7098.45,2.00246,2.40389,1.28655,0.61754,0.49309,0.49853,0.26503,1.52927,1.6387,1.02331,1.882e-05,1.882e-05,1.882e-05
43,7266.2,2.03733,2.48174,1.28703,0.64471,0.50691,0.51353,0.27059,1.5245,1.71982,1.02143,1.684e-05,1.684e-05,1.684e-05
44,7434.23,2.02318,2.38217,1.29581,0.63438,0.48848,0.50037,0.26789,1.5054,1.68506,1.01992,1.486e-05,1.486e-05,1.486e-05
45,7601.83,1.98947,2.75291,1.25026,0.63591,0.49309,0.51354,0.27512,1.49698,1.65984,1.01833,1.288e-05,1.288e-05,1.288e-05
46,7767.96,1.9554,2.38697,1.26258,0.61606,0.49078,0.50365,0.2705,1.512,1.6998,1.02212,1.09e-05,1.09e-05,1.09e-05
47,7933.92,1.92443,2.25842,1.25711,0.62611,0.5023,0.52003,0.27798,1.50734,1.6793,1.01969,8.92e-06,8.92e-06,8.92e-06
48,8096.16,2.02642,2.51073,1.29466,0.64036,0.49309,0.51492,0.27638,1.50208,1.66259,1.01694,6.94e-06,6.94e-06,6.94e-06
49,8263.56,2.02817,2.31635,1.28326,0.64194,0.49309,0.51117,0.27458,1.51152,1.67641,1.01997,4.96e-06,4.96e-06,4.96e-06
50,8426.46,1.98583,2.29369,1.27545,0.63308,0.5023,0.51824,0.27948,1.51164,1.64226,1.02071,2.98e-06,2.98e-06,2.98e-06
